component,type,schematic,drawing,desc_pt,description,c1r1,c2r1,c1r2,c2r2,c1r3,c2r3,c1r4,c2r4
BC327,PNP,PNP-1C-2B-3E.png,C-B-E.png,8,Amplifier Silicon Transistor,V#sub[CES] = *-50 V*,f#sub[T] = *Typ. 260 MHz*,V#sub[CEO] = *-45 V*,V#sub[BE(on)] = *-1.2 V*,V#sub[EBO] = *-5 V*,PD(T#sub[A]) = *625 mW*,I#sub[C] = *-800 mA*,T#sub[STG] = *-55 #sym.tilde.op 150#{sym.degree}C*
BC337,NPN,NPN-1C-2B-3E.png,C-B-E.png,8,Amplifier Silicon Transistor,,,,,,,,
BC517,NPN,NPN-Darlington.png,C-B-E.png,8,Darlington Silicon Transistor,,,,,,,,
BC546,NPN,NPN-1C-2B-3E.png,C-B-E.png,8,Switching/Amplifier Applications,,,,,,,,
BC547,NPN,NPN-1C-2B-3E.png,C-B-E.png,8,Switching/Amplifier Applications,,,,,,,,
BC548,NPN,NPN-1C-2B-3E.png,C-B-E.png,8,Switching/Amplifier Applications,,,,,,,,
BC549,NPN,NPN-1C-2B-3E.png,C-B-E.png,8,Switching/Amplifier Applications,,,,,,,,
BC550,NPN,NPN-1C-2B-3E.png,C-B-E.png,8,Switching/Amplifier Applications,,,,,,,,
BC556,PNP,PNP-1C-2B-3E.png,C-B-E.png,8,Amplifier Silicon Transisitor,,,,,,,,
BC558,PNP,PNP-1C-2B-3E.png,C-B-E.png,8,Amplifier Silicon Transisitor,,,,,,,,
2N2222,NPN,NPN-1E-2B-3C.png,E-B-C.png,8,Linear Amp./Switching,,,,,,,,
2N3904,PNP,NPN-1E-2B-3C.png,E-B-C.png,7,General Purpose Silicon Transistor,,,,,,,,
2N3906,PNP,PNP-1E-2B-3C.png,E-B-C.png,7,General Purpose Silicon Transistor,,,,,,,,
2N5401,PNP,PNP-1E-2B-3C.png,E-B-C.png,8,Amplifier Silicon Transisitor,,,,,,,,
2N5551,NPN,NPN-1E-2B-3C.png,E-B-C.png,8,Amplifier Silicon Transisitor,,,,,,,,
A1015,PNP,PNP-1E-2C-3B.png,E-C-B.png,8,Low-Frequency Amplifier,,,,,,,,
A733,PNP,PNP-1E-2C-3B.png,E-C-B.png,8,General Purpose Amplifier,,,,,,,,
C1815,NPN,NPN-1E-2C-3B.png,E-C-B.png,8,Audio Freq. A./High Freq. Osc.,,,,,,,,
C945,NPN,NPN-1E-2C-3B.png,E-C-B.png,8,General Purpose Transistor,,,,,,,,
SS8050,NPN,NPN-1E-2B-3C.png,E-B-C.png,7,Class B Push-Pull/Epitaxial S. Trans.,,,,,,,,
SS8550,PNP,PNP-1E-2B-3C.png,E-B-C.png,7,Class B Push-Pull/Epitaxial S. Trans.,,,,,,,,
S8050,NPN,NPN-1E-2B-3C.png,E-B-C.png,7,Class B Push-Pull A.A./Gen. Purpose,,,,,,,,
S8550,PNP,PNP-1E-2B-3C.png,E-B-C.png,7,Class B Push-Pull A.A./Gen. Purpose,,,,,,,,
S9012,PNP,PNP-1E-2B-3C.png,E-B-C.png,8,Small Signal Transistor,,,,,,,,
S9013,NPN,NPN-1E-2B-3C.png,E-B-C.png,8,Small Signal Transistor,,,,,,,,
S9014,NPN,NPN-1E-2B-3C.png,E-B-C.png,7,Audio Out Stage/Conv./Inv. Circuits,,,,,,,,
S9015,PNP,PNP-1E-2B-3C.png,E-B-C.png,7,Switching / Gen. Purpose Transistor,,,,,,,,
S9018,NPN,NPN-1E-2B-3C.png,E-B-C.png,7,High Current Gain Bandwidth Trans.,,,,,,,,
TIP31A,NPN,NPN-1B-2C-3E.png,TO-220 NPN.png,7,M. Power Linear Switching Applic.,,,,,,,,
B1565,PNP,PNP-1E-2C-3B.png,TO-220FN Transistor.png,7,Silicon Power Amplifier Transistor,,,,,,,,
